title,university,date,authors,journal,citations,theme
"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",Queensland University of Technology,2021-03-31,Laith Alzubaidi; Jinglan Zhang; Amjad J. Humaidi; Ayad Q. Al-Dujaili; Ye Duan,Journal Of Big Data,5553,AI_Machine_Learning
The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,University of Tasmania,2020-07-14,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey,PLoS Biology,4342,AI_Machine_Learning
Deep High-Resolution Representation Learning for Visual Recognition,Griffith University,2020-04-01,Jingdong Wang; Ke Sun; Tianheng Cheng; Borui Jiang; Chaorui Deng,IEEE Transactions on Pattern Analysis and Machine Intelligence,3542,AI_Machine_Learning
The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,University of Tasmania,2020-07-14,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey,Experimental Physiology,3479,AI_Machine_Learning
A Comprehensive Survey on Graph Neural Networks,University of Technology Sydney,2020-03-24,Zonghan Wu; Shirui Pan; Fengwen Chen; Guodong Long; Chengqi Zhang,IEEE Transactions on Neural Networks and Learning Systems,3416,AI_Machine_Learning
"A Survey of Convolutional Neural Networks: Analysis, Applications, and Prospects",Griffith University,2021-06-10,Zewen Li; Fan Liu; Wenjie Yang; Shouheng Peng; Jun Zhou,IEEE Transactions on Neural Networks and Learning Systems,3313,AI_Machine_Learning
Random Erasing Data Augmentation,Australian National University,2020-04-03,Zhun Zhong; Liang Zheng; Guoliang Kang; Shaozi Li; Yi Yang,Proceedings of the AAAI Conference on Artificial Intelligence,2523,AI_Machine_Learning
Purposive sampling: complex or simple? Research case examples,University of Tasmania,2020-06-18,Steve Campbell; Melanie Greenwood; Sarah Prior; Toniele Shearer; Kerrie Walkem,Journal of research in nursing,2247,AI_Machine_Learning
Transformers in Vision: A Survey,Australian National University,2022-01-06,Salman Khan; Muzammal Naseer; Munawar Hayat; Syed Waqas Zamir; Fahad Shahbaz Khan,ACM Computing Surveys,2245,AI_Machine_Learning
Can I use TA? Should I use TA? Should I<i>not</i>use TA? Comparing reflexive thematic analysis and other pattern‐based qualitative analytic approaches,University of Auckland,2020-10-18,Virginia Braun; Victoria Clarke,Counselling and Psychotherapy Research,2054,AI_Machine_Learning
"Metaverse beyond the hype: Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for research, practice and policy",Curtin University,2022-07-16,Yogesh K. Dwivedi; Laurie Hughes; Abdullah M. Baabdullah; Samuel Ribeiro‐Navarrete; Mihalis Giannakis,International Journal of Information Management,2001,AI_Machine_Learning
Advances and Open Problems in Federated Learning,Australian National University,2021-01-01,Peter Kairouz; H. Brendan McMahan; Brendan Avent; Aurélien Bellet; Mehdi Bennis,,1272,AI_Machine_Learning
Achieving Effective Remote Working During the COVID‐19 Pandemic: A Work Design Perspective,Curtin University,2020-10-14,Bin Wang; Yukun Liu; Jing Qian; Sharon K. Parker,Applied Psychology,1260,AI_Machine_Learning
Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks,University of Technology Sydney,2020-08-20,Zonghan Wu; Shirui Pan; Guodong Long; Jing Jiang; Xiaojun Chang,,1241,AI_Machine_Learning
What if the devil is my guardian angel: ChatGPT as a case study of using chatbots in education,University of Wollongong,2023-02-22,Ahmed Tlili; Boulus Shehata; Michael Agyemang Adarkwah; Aras Bozkurt; Daniel T. Hickey,Smart Learning Environments,1188,AI_Machine_Learning
The k-means Algorithm: A Comprehensive Survey and Performance Evaluation,Edith Cowan University,2020-08-12,Mohiuddin Ahmed; Raihan Seraj; Syed Mohammed Shamsul Islam,Electronics,1118,AI_Machine_Learning
The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research*,University of Tasmania,2020-07-14,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey,Journal of Cerebral Blood Flow & Metabolism,1025,AI_Machine_Learning
"Deep Reinforcement Learning for Multiagent Systems: A Review of Challenges, Solutions, and Applications",Deakin University,2020-03-20,Thanh Thi Nguyen; Ngoc Duy Nguyen; Saeid Nahavandi,IEEE Transactions on Cybernetics,974,AI_Machine_Learning
"A Brief Overview of ChatGPT: The History, Status Quo and Potential Future Development",Swinburne University of Technology,2023-05-01,Tianyu Wu; Shizhu He; Jingping Liu; Siqi Sun; Kang Liu,IEEE/CAA Journal of Automatica Sinica,940,AI_Machine_Learning
From digital literacy to digital competence: the teacher digital competency (TDC) framework,Macquarie University,2020-03-29,Garry Falloon,Educational Technology Research and Development,931,AI_Machine_Learning
"Vision, challenges, roles and research issues of Artificial Intelligence in Education",Monash University,2020-01-01,Gwo‐Jen Hwang; Haoran Xie; Benjamin W. Wah; Dragan Gašević,Computers and Education Artificial Intelligence,910,AI_Machine_Learning
Learning Vocabulary in Another Language,Victoria University of Wellington,2022-06-02,Paul Nation,,880,AI_Machine_Learning
Artificial gorilla troops optimizer: A new nature‐inspired metaheuristic algorithm for global optimization problems,Torrens University Australia,2021-07-12,Benyamın Abdollahzadeh; Farhad Soleimanian Gharehchopogh; Seyedali Mirjalili,International Journal of Intelligent Systems,861,AI_Machine_Learning
Particle Swarm Optimization: A Comprehensive Survey,Torrens University Australia,2022-01-01,Tareq M. Shami; Ayman A. El‐Saleh; Mohammed Alswaitti; Qasem Al-Tashi; Mhd Amen Summakieh,IEEE Access,835,AI_Machine_Learning
Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence,Curtin University,2023-03-22,Grant Cooper,Journal of Science Education and Technology,832,AI_Machine_Learning
Circle Loss: A Unified Perspective of Pair Similarity Optimization,Australian National University,2020-06-01,Yifan Sun; Changmao Cheng; Yuhan Zhang; Chi Zhang; Liang Zheng,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),799,AI_Machine_Learning
"AI-Based Modeling: Techniques, Applications and Research Issues Towards Automation, Intelligent and Smart Systems",Swinburne University of Technology,2022-02-10,Iqbal H. Sarker,SN Computer Science,791,AI_Machine_Learning
The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,University of Tasmania,2020-07-14,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey,British Journal of Pharmacology,769,AI_Machine_Learning
GraphDTA: predicting drug–target binding affinity with graph neural networks,Deakin University,2020-10-15,Thin Nguyen; Hang Le; Thomas P. Quinn; Tri Minh Nguyen; Thuc Duy Le,Bioinformatics,757,AI_Machine_Learning
Automatically Designing CNN Architectures Using the Genetic Algorithm for Image Classification,Victoria University of Wellington,2020-04-21,Yanan Sun; Bing Xue; Mengjie Zhang; Gary G. Yen; Jiancheng Lv,IEEE Transactions on Cybernetics,746,AI_Machine_Learning
