title,university,date,authors,journal,citations,theme,topic_id,topic_probability
"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",Queensland University of Technology,2021-03-31,Laith Alzubaidi; Jinglan Zhang; Amjad J. Humaidi; Ayad Q. Al-Dujaili; Ye Duan,Journal Of Big Data,5553,AI_Machine_Learning,1,1.0
The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,University of Tasmania,2020-07-14,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey,PLoS Biology,4342,AI_Machine_Learning,-1,0.09299632590004328
Deep High-Resolution Representation Learning for Visual Recognition,Griffith University,2020-04-01,Jingdong Wang; Ke Sun; Tianheng Cheng; Borui Jiang; Chaorui Deng,IEEE Transactions on Pattern Analysis and Machine Intelligence,3542,AI_Machine_Learning,1,1.0
The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,University of Tasmania,2020-07-14,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey,Experimental Physiology,3479,AI_Machine_Learning,-1,0.09306704950739636
A Comprehensive Survey on Graph Neural Networks,University of Technology Sydney,2020-03-24,Zonghan Wu; Shirui Pan; Fengwen Chen; Guodong Long; Chengqi Zhang,IEEE Transactions on Neural Networks and Learning Systems,3416,AI_Machine_Learning,1,1.0
"A Survey of Convolutional Neural Networks: Analysis, Applications, and Prospects",Griffith University,2021-06-10,Zewen Li; Fan Liu; Wenjie Yang; Shouheng Peng; Jun Zhou,IEEE Transactions on Neural Networks and Learning Systems,3313,AI_Machine_Learning,1,0.5596327944674226
Random Erasing Data Augmentation,Australian National University,2020-04-03,Zhun Zhong; Liang Zheng; Guoliang Kang; Shaozi Li; Yi Yang,Proceedings of the AAAI Conference on Artificial Intelligence,2523,AI_Machine_Learning,1,0.8445716048285725
Purposive sampling: complex or simple? Research case examples,University of Tasmania,2020-06-18,Steve Campbell; Melanie Greenwood; Sarah Prior; Toniele Shearer; Kerrie Walkem,Journal of research in nursing,2247,AI_Machine_Learning,11,0.6115709593548471
Transformers in Vision: A Survey,Australian National University,2022-01-06,Salman Khan; Muzammal Naseer; Munawar Hayat; Syed Waqas Zamir; Fahad Shahbaz Khan,ACM Computing Surveys,2245,AI_Machine_Learning,1,1.0
Can I use TA? Should I use TA? Should I<i>not</i>use TA? Comparing reflexive thematic analysis and other pattern‐based qualitative analytic approaches,University of Auckland,2020-10-18,Virginia Braun; Victoria Clarke,Counselling and Psychotherapy Research,2054,AI_Machine_Learning,11,0.3369719510425875
