openalex_id,title,abstract,date,year,authors,university,journal,citations,doi,theme,concepts,relevance_score
W3094203970,5G Security Challenges and Opportunities: A System Approach,"The digital transformation brought by 5G is redefining current models of end-to-end connectivity and service reliability to include security-by-design principles necessary to enable 5G to achieve its promise. 5G trustworthiness highlights the importance of embedding security capabilities from the very beginning while the 5G architecture is being defined and standardized. Security requirements need to overlay and permeate through the different layers of the 5G systems (physical, network, and application) as well as different parts of an E2E5G architecture within a risk management framework that takes into account the evolving security threats landscape. 5G presents a typical use-case of wireless communication and computer networking convergence, where 5G fundamental building blocks include components such as Software Defined Networks (SDN), Network Functions Virtualization (NFV) and the edge cloud. This convergence extends many of the security challenges and opportunities applicable to SDN/NFV and cloud to 5G networks. Thus, 5G security needs to consider additional security requirements (compared to previous generations) such as SDN controller security, hypervisor security, orchestrator security, cloud security, edge security, etc. At the same time, 5G networks offer security improvement opportunities that should be considered. Here, 5G architectural flexibility, programmability and complexity can be harnessed to improve resilience and reliability.",2020-09-01,2020,Ashutosh Dutta; Eman Hammad,Johns Hopkins University,2020 IEEE 3rd 5G World Forum (5GWF),73,https://doi.org/10.1109/5gwf49715.2020.9221122,Defense_Security,Computer science; Cloud computing security; Security service; Computer security model; Computer security,0.6
W3014204465,"Advances in Microwave Near-Field Imaging: Prototypes, Systems, and Applications","Microwave imaging employs detection techniques to evaluate hidden or embedded objects in a structure or media using electro-magnetic (EM) waves in the microwave range, 300 MHz-300 GHz. Microwave imaging is often associated with radar detection such as target location and tracking, weather-pattern recognition, and underground surveillance, which are far-field applications. In recent years, due to microwaves' ability to penetrate optically opaque media, short-range applications, including medical imaging, nondestructive testing (NDT) and quality evaluation, through-the-wall imaging, and security screening, have been developed. Microwave near-field imaging most often occurs when detecting the profile of an object within the short range (when the distance from the sensor to the object is less than one wavelength to several wave-lengths) and depends on the electrical size of the antenna(s) and target.",2020-03-31,2020,Wenyi Shao; Todd R. McCollough,Johns Hopkins University,IEEE Microwave Magazine,76,https://doi.org/10.1109/mmm.2020.2971375,Defense_Security,Microwave imaging; Microwave; Opacity; Radar imaging; Radar,0.642
W3034639796,The operational readiness capacities of the grassroots health system in responses to epidemics: Implications for COVID-19 control in Vietnam,"The operational readiness capacities of the grassroots health system in responses to epidemics: Implications for COVID-19 control in Vietnam Background There is a paucity of data on the operational readiness capacities of the grassroots health system in Vietnam while it plays a vital role as a first-line defense against health emergencies, including the coronavirus disease .This study, therefore, aims to assess the operational readiness capacities of the grassroots health system in response to epidemics and provides implications for controlling COVID-19 in Vietnam. MethodsAn online cross-sectional study using the respondent-driven sampling technique was conducted with 6029 health professionals and medical students in Vietnam from December 2019 to February 2020.The operational readiness capacities of the health system were assessed by the sufficiency of health professionals, administrative and logistics staffs, equipment and facilities, and general capacity of health professionals.Kruskal-Wallis test, Fisher exact test and χ 2 test were employed to identify the differences among variables.Tobit and censored regression models were operated to determine associated factors. ResultsThe operational readiness capacities of the grassroots health system for four assessed criteria were at moderate levels, ranging from 6.3 to 6.8 over 10.In Vietnam, the grassroots health system in rural areas, in the South, and at the district level were more likely to be vulnerable compared to their counterparts. ConclusionsAccording to empirical data, this study reveals the vulnerability of the grassroots health system in Vietnam and provides the rationality of prompt and vigorous actions of the Vietnamese Government against COVID-19.Findings also offer useful insights for effective strategies to strengthen the grassroots health system in the long term.In the short term, practicing precautionary measures and mobilizing human resources, as well as medical equipment, are needed to successfully contain COVID-19 in Vietnam.",2020-06-01,2020,Bach Xuan Tran; Men Thi Hoang; Hai Quang Pham; Chi Linh Hoang; Huong Thi Le,Johns Hopkins University,Journal of Global Health,54,https://doi.org/10.7189/jogh.10.011006,Defense_Security,Grassroots; Coronavirus disease 2019 (COVID-19); 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Environmental health,0.508
W3111554718,Aligning Climate Change and Sustainable Development Goals With an Innovation Systems Roadmap for Renewable Power,"Energy development improves quality of life for humans, but also incurs environmental consequences. A global energy transition from fossil fuels to renewable energy may mitigate climate change but may also undermine the capacity to achieve some or all 17 Sustainable Development Goals (SDGs). In this study, we use an innovation systems approach to construct a comprehensive roadmap for solar and wind energy to anticipate and improve impacts of a transition to a low carbon future in a manner ensuring climate goals and SDGs are mutually reinforcing. Our multidisciplinary approach began with an assessment of public investments in renewable energy followed by a 2-day research prioritization workshop. Fifty-eight expert workshop participants identified six research themes that proactively address the environmental sustainability of renewable energy. Next, we identified linkages between the six research themes and all 17 SDGs. Finally, we conducted a scientiometric analysis to analyze the research maturity of these themes. The results of these efforts elucidated the limits of existing knowledge of renewable energy-SDG interactions, informing the development of a research, development, demonstration, and deployment (RD3) roadmap to a renewable energy future aligned with both climate goals and SDGs. The RD3 roadmap has been designed to systematically develop solutions for diverse actors and organizations. Overall, our findings confer a broad vision for a sustainable transition to renewables to minimize unintended environmental consequences while supporting interoperability among actors particularly poised to influence its magnitude and direction.",2020-12-18,2020,Rebecca R. Hernandez; Sarah M. Jordaan; Ben Kaldunski; Naresh Kumar,"University of California, Davis",Frontiers in Sustainability,54,https://doi.org/10.3389/frsus.2020.583090,Defense_Security,Renewable energy; Sustainable development; Sustainability; Climate change mitigation; Environmental economics,0.6
W3204188945,Study of Pre-Processing Defenses Against Adversarial Attacks on State-of-the-Art Speaker Recognition Systems,"Adversarial examples are designed to fool the speaker recognition (SR) system by adding a carefully crafted human-imperceptible noise to the speech signals. Posing a severe security threat to state-of-the-art SR systems, it becomes vital to deep-dive and study their vulnerabilities. Moreover, it is of greater importance to propose countermeasures that can protect the systems against these attacks. Addressing these concerns, we first investigated how state-of-the-art x-vector based SR systems are affected by white-box adversarial attacks, i.e., when the adversary has full knowledge of the system. x-Vector based SR systems are evaluated against white-box adversarial attacks common in the literature like fast gradient sign method (FGSM), basic iterative method (BIM)–a.k.a. iterative-FGSM–, projected gradient descent (PGD), and Carlini-Wagner (CW) attack. To mitigate against these attacks, we investigated four pre-processing defenses which do not need adversarial examples during training. The four pre-processing defenses–viz. randomized smoothing, DefenseGAN, variational autoencoder (VAE), and Parallel Wave-GAN vocoder (PWG) are compared against the baseline defense of adversarial training. Performing powerful adaptive white-box adversarial attack (i.e., when the adversary has full knowledge of the system, including the defense), our conclusions indicate that SR systems were extremely vulnerable under BIM, PGD, and CW attacks. Among the proposed pre-processing defenses, PWG combined with randomized smoothing offers the most protection against the attacks, with accuracy averaging 93% compared to 52% in the undefended system and an absolute improvement > 90% for BIM attacks with L∞ > 0.001 and CW attack.",2021-01-01,2021,Sonal Joshi; Jesús Villalba; Piotr Żelasko; Laureano Moro-Velázquez; Najim Dehak,Johns Hopkins University,IEEE Transactions on Information Forensics and Security,35,https://doi.org/10.1109/tifs.2021.3116438,Defense_Security,Adversarial system; Computer science; Adversary; Smoothing; Computer security,0.717
W3010767619,Ingestible Sensors and Sensing Systems for Minimally Invasive Diagnosis and Monitoring: The Next Frontier in Minimally Invasive Screening,"Ingestible electronic systems that are capable of embedded sensing, particularly within the gastrointestinal (GI) tract and its accessory organs, have the potential to screen for diseases that are difficult if not impossible to detect at an early stage using other means. Furthermore, these devices have the potential to (1) reduce labor and facility costs for a variety of procedures, (2) promote research for discovering new biomarker targets for associated pathologies, (3) promote the development of autonomous or semiautonomous diagnostic aids for consumers, and (4) provide a foundation for epithelially targeted therapeutic interventions. These technological advances have the potential to make disease surveillance and treatment far more effective for a variety of conditions, allowing patients to lead longer and more productive lives. This review will examine the conventional techniques, as well as ingestible sensors and sensing systems that are currently under development for use in disease screening and diagnosis for GI disorders. Design considerations, fabrication, and applications will be discussed.",2020-03-11,2020,Luke A. Beardslee; George Banis; Sangwook Chu; Sanwei Liu; Ashley A. Chapin,"University of Maryland, College Park",ACS Sensors,78,https://doi.org/10.1021/acssensors.9b02263,Defense_Security,Computer science; Risk analysis (engineering); Variety (cybernetics); Medicine; Intensive care medicine,0.733
W3130618877,SCAN: System for Camera Autonomous Navigation in Robotic-Assisted Surgery,"Robot-Assisted systems for Minimally Invasive Surgery enhance the surgeon capability, however, direct control over both the surgical tools and the endoscope results in an increased workload that leads to longer operation times. This work investigates the introduction of SCAN (System for Camera Autonomous Navigation) to overcome this limitation. An experimental study involving 12 participants was carried out with the da Vinci Research Kit. Each user tested two novel camera control modalities, autonomous and semi-autonomous, as well as the current manual control of the camera, while carrying out a dry-lab task. Among the camera control modalities, the autonomous navigation achieved better objective performances and the highest user confidence. Moreover, the autonomous control (along with the semi-autonomous one) was able to optimize some metrics related to the robotic surgery workflow.",2020-10-24,2020,Tommaso Da Col; Andrea Mariani; Anton Deguet; Arianna Menciassi; Peter Kazanzides,Politecnico di Milano,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),28,https://doi.org/10.1109/iros45743.2020.9341548,Autonomous_Systems,Modalities; Task (project management); Workflow; Computer science; Workload,0.925
W3048579935,Scientific Challenges and Present Capabilities in Underwater Robotic Vehicle Design and Navigation for Oceanographic Exploration Under-Ice,"This paper reviews the scientific motivation and challenges, development, and use of underwater robotic vehicles designed for use in ice-covered waters, with special attention paid to the navigation systems employed for under-ice deployments. Scientific needs for routine access under fixed and moving ice by underwater robotic vehicles are reviewed in the contexts of geology and geophysics, biology, sea ice and climate, ice shelves, and seafloor mapping. The challenges of under-ice vehicle design and navigation are summarized. The paper reviews all known under-ice robotic vehicles and their associated navigation systems, categorizing them by vehicle type (tethered, untethered, hybrid, and glider) and by the type of ice they were designed for (fixed glacial or sea ice and moving sea ice).",2020-08-11,2020,Laughlin D. L. Barker; Michael V. Jakuba; Andrew J. Bowen; Christopher R. German; Ted Maksym,Johns Hopkins University,Remote Sensing,63,https://doi.org/10.3390/rs12162588,Autonomous_Systems,Underwater glider; Underwater; Sea ice; Geology; Marine engineering,0.642
W3200209451,A Dexterous Robotic System for Autonomous Debridement of Osteolytic Bone Lesions in Confined Spaces: Human Cadaver Studies,"This article presents a dexterous robotic system for autonomous debridement of osteolytic bone lesions in confined spaces. The proposed system is distinguished from the state-of-the-art orthopedics systems because it combines a rigid-link robot with a continuum manipulator (CM) that enhances reach in difficult-to-access spaces often encountered in surgery. The CM is equipped with flexible debriding instruments and fiber Bragg grating sensors. The surgeon plans on the patient's preoperative computed tomography and the robotic system performs the task autonomously under the surgeon's supervision. An optimization-based controller generates control commands on the fly to execute the task while satisfying physical and safety constraints. The system design and controller are discussed and extensive simulation, phantom and human cadaver experiments are carried out to evaluate the performance, workspace, and dexterity in confined spaces. Mean and standard deviation of target placement are 0.5 and 0.18 mm, and the robotic system covers 91% of the workspace behind an acetabular implant in treatment of hip osteolysis, compared to the 54% that is achieved by conventional rigid tools.",2021-07-21,2021,Shahriar Sefati; Rachel Hegeman; Iulian Iordachita; Russell H. Taylor; Mehran Armand,Johns Hopkins University,IEEE Transactions on Robotics,32,https://doi.org/10.1109/tro.2021.3091283,Autonomous_Systems,Workspace; Imaging phantom; Robot; Computer science; Robot manipulator,0.85
W3121831947,"The SEE Study: Safety, Efficacy, and Equity of Implementing Autonomous Artificial Intelligence for Diagnosing Diabetic Retinopathy in Youth","OBJECTIVE Diabetic retinopathy (DR) is a leading cause of vision loss worldwide. Screening for DR is recommended in children and adolescents, but adherence is poor. Recently, autonomous artificial intelligence (AI) systems have been developed for early detection of DR and have been included in the American Diabetes Association’s guidelines for screening in adults. We sought to determine the diagnostic efficacy of autonomous AI for the diabetic eye exam in youth with diabetes. RESEARCH DESIGN AND METHODS In this prospective study, point-of-care diabetic eye exam was implemented using a nonmydriatic fundus camera with an autonomous AI system for detection of DR in a multidisciplinary pediatric diabetes center. Sensitivity, specificity, and diagnosability of AI was compared with consensus grading by retinal specialists, who were masked to AI output. Adherence to screening guidelines was measured before and after AI implementation. RESULTS Three hundred ten youth with diabetes aged 5–21 years were included, of whom 4.2% had DR. Diagnosability of AI was 97.5% (302 of 310). The sensitivity and specificity of AI to detect more-than-mild DR was 85.7% (95% CI 42.1–99.6%) and 79.3% (74.3–83.8%), respectively, compared with the reference standard as defined by retina specialists. Adherence improved from 49% to 95% after AI implementation. CONCLUSIONS Use of a nonmydriatic fundus camera with autonomous AI was safe and effective for the diabetic eye exam in youth in our study. Adherence to screening guidelines improved with AI implementation. As the prevalence of diabetes increases in youth and adherence to screening guidelines remains suboptimal, effective strategies for diabetic eye exams in this population are needed.",2021-01-21,2021,Risa M. Wolf; T.Y. Alvin Liu; Chrystal Thomas; Laura Prichett; Ingrid Zimmer-Galler,Johns Hopkins University,Diabetes Care,46,https://doi.org/10.2337/dc20-1671,Autonomous_Systems,Medicine; Diabetic retinopathy; Diabetes mellitus; Retinopathy; Grading (engineering),0.583
W3081954207,A Surgical Robotic System for Treatment of Pelvic Osteolysis Using an FBG-Equipped Continuum Manipulator and Flexible Instruments,"This paper presents the development and experimental evaluation of a redundant robotic system for the less-invasive treatment of osteolysis (bone degradation) behind the acetabular implant during total hip replacement revision surgery. The system comprises a rigid-link positioning robot and a Continuum Dexterous Manipulator (CDM) equipped with highly flexible debriding tools and a Fiber Bragg Grating (FBG)-based sensor. The robot and the continuum manipulator are controlled concurrently via an optimization-based framework using the Tip Position Estimation (TPE) from the FBG sensor as feedback. Performance of the system is evaluated on a setup that consists of an acetabular cup and saw-bone phantom simulating the bone behind the cup. Experiments consist of performing the surgical procedure on the simulated phantom setup. CDM TPE using FBGs, target location placement, cutting performance, and the concurrent control algorithm capability in achieving the desired tasks are evaluated. Mean and standard deviation of the CDM TPE from the FBG sensor and the robotic system are 0.50 mm, and 0.18 mm, respectively. Using the developed surgical system, accurate positioning and successful cutting of desired straight-line and curvilinear paths on saw-bone phantoms behind the cup with different densities are demonstrated. Compared to the conventional rigid tools, the workspace reach behind the acetabular cup is 2.47 times greater when using the developed robotic system.",2020-08-31,2020,Shahriar Sefati; Rachel Hegeman; Farshid Alambeigi; Iulian Iordachita; Peter Kazanzides,Johns Hopkins University,IEEE/ASME Transactions on Mechatronics,52,https://doi.org/10.1109/tmech.2020.3020504,Autonomous_Systems,Imaging phantom; Workspace; Fiber Bragg grating; Positioning system; Robot,0.717
